dataset_type,mete_type,var_name,mete_var,default_unit,support_unit,var_desc
opensource,era5_pressure,1000hpa temperature,t1000hpa,K,C | F,气压层1000hpa气温
opensource,era5_pressure,925hpa temperature,t925hpa,K,C | F,气压层925hpa气温
opensource,era5_pressure,850hpa temperature,t850hpa,K,C | F,气压层850hpa气温
opensource,era5_pressure,700hpa temperature,t700hpa,K,C | F,气压层700hpa气温
opensource,era5_pressure,600hpa temperature,t600hpa,K,C | F,气压层600hpa气温
opensource,era5_pressure,500hpa temperature,t500hpa,K,C | F,气压层500hpa气温
opensource,era5_pressure,400hpa temperature,t400hpa,K,C | F,气压层400hpa气温
opensource,era5_pressure,300hpa temperature,t300hpa,K,C | F,气压层300hpa气温
opensource,era5_pressure,250hpa temperature,t250hpa,K,C | F,气压层250hpa气温
opensource,era5_pressure,200hpa temperature,t200hpa,K,C | F,气压层200hpa气温
opensource,era5_pressure,150hpa temperature,t150hpa,K,C | F,气压层150hpa气温
opensource,era5_pressure,100hpa temperature,t100hpa,K,C | F,气压层100hpa气温
opensource,era5_pressure,50hpa temperature,t50hpa,K,C | F,气压层50hpa气温
opensource,era5_pressure,1000hpa Fraction of cloud cover,cc1000hpa,%,"[0,1]",气压层1000hpa云覆盖率
opensource,era5_pressure,925hpa Fraction of cloud cover,cc925hpa,%,"[0,1]",气压层925hpa云覆盖率
opensource,era5_pressure,850hpa Fraction of cloud cover,cc850hpa,%,"[0,1]",气压层850hpa云覆盖率
opensource,era5_pressure,700hpa Fraction of cloud cover,cc700hpa,%,"[0,1]",气压层700hpa云覆盖率
opensource,era5_pressure,600hpa Fraction of cloud cover,cc600hpa,%,"[0,1]",气压层600hpa云覆盖率
opensource,era5_pressure,500hpa Fraction of cloud cover,cc500hpa,%,"[0,1]",气压层500hpa云覆盖率
opensource,era5_pressure,400hpa Fraction of cloud cover,cc400hpa,%,"[0,1]",气压层400hpa云覆盖率
opensource,era5_pressure,300hpa Fraction of cloud cover,cc300hpa,%,"[0,1]",气压层300hpa云覆盖率
opensource,era5_pressure,250hpa Fraction of cloud cover,cc250hpa,%,"[0,1]",气压层250hpa云覆盖率
opensource,era5_pressure,200hpa Fraction of cloud cover,cc200hpa,%,"[0,1]",气压层200hpa云覆盖率
opensource,era5_pressure,150hpa Fraction of cloud cover,cc150hpa,%,"[0,1]",气压层150hpa云覆盖率
opensource,era5_pressure,100hpa Fraction of cloud cover,cc100hpa,%,"[0,1]",气压层100hpa云覆盖率
opensource,era5_pressure,50hpa Fraction of cloud cover,cc50hpa,%,"[0,1]",气压层50hpa云覆盖率
opensource,cfs_h6_surface,temperature (0m),t,K,C | F,地面0米气温
opensource,cfs_h6_surface,temperature (2m),t2m,K,C | F,地面2米气温
opensource,cfs_h6_surface,Maximum temperature,tmax,K,C | F,最高温度
opensource,cfs_h6_surface,Minimum temperature,tmin,K,C | F,最低温度
opensource,cfs_h6_surface,cloud cover total,tcc,%,"[0,1]",总体云覆盖率
opensource,cfs_h6_surface,cloud cover low,lcc,%,"[0,1]",低空云覆盖率
opensource,cfs_h6_surface,cloud cover mid,mcc,%,"[0,1]",中空云覆盖率
opensource,cfs_h6_surface,cloud cover high,hcc,%,"[0,1]",高空云覆盖率
opensource,cfs_h6_surface,downward short-wave radiation flux,dswrf,W/m^2,,下行短波辐照通量
opensource,cfs_h6_surface,downward long-wave radiation flux,dlwrf,W/m^2,,下行长波辐照通量
opensource,cfs_h6_surface,upward short-wave radiation flux,uswrf,W/m^2,,上行短波辐照通量
opensource,cfs_h6_surface,upward long-wave radiation flux,ulwrf,W/m^2,,上行长波辐照通量
opensource,icon_surface,2 metre dewpoint temperature,d2m,K,C | F,2米露点温度
opensource,icon_surface,2 metre temperature,t2m,K,C | F,2米气温
opensource,icon_surface,Max 2m Temperature,t2m_max,K,C | F,2米最大气温
opensource,icon_surface,Min 2m Temperature,t2m_min,K,C | F,2米最小气温
opensource,icon_surface,Snow temperature (top of snow),t_snow,K,C | F,积雪顶层温度
opensource,icon_surface,Net short wave radiation flux at surface,nswrf-acc,W/m^2,,[原始值]地表净短波辐射通量
opensource,icon_surface,Net short wave radiation flux on model top,nswrf_top-acc,W/m^2,,[原始值]模型顶层净短波辐射通量
opensource,icon_surface,"Net short-wave radiation flux, clear sky",nswrfcs-acc,W/m^2,,[原始值]晴空净短波辐射通量
opensource,icon_surface,Downward diffusive short wave radiation flux at surface,dswdif-acc,W/m^2,,[原始值]地表向下散射短波辐射通量
opensource,icon_surface,Upward diffusive short wave radiation flux at surface,uswdif-acc,W/m^2,,[原始值]地表向上散射短波辐射通量
opensource,icon_surface,Downward direct short wave radiation flux at surface,dswdir-acc,W/m^2,,[原始值]地表向下直射短波辐射通量
opensource,icon_surface,Net short wave radiation flux at surface,nswrf,W/m^2,,[预处理]地表净短波辐射通量
